price,square_meters,contract_type_0,contract_type_1,contract_type_2,contract_type_3,contract_type_4,contract_type_5,contract_type_6,availability_year_not_available,availability_year_2024,availability_year_2023,availability_year_2022,availability_year_2015,availability_year_2020,availability_year_2016,availability_year_2025,availability_instant,description,bedrooms,other_rooms,bathrooms,has_security_door,has_tv_system,has_centralized_tv_system,has_optic_fiber,has_video_entryphone,has_electric_gate,has_kitchen_diner,has_open_kitchen,has_half-day_concierge,has_full_day_concierge,has_shared_garden,has_alarm_system,has_partially_furnished,has_kitchen_nook,has_semi-habitable_kitchen,has_disabled_people,has_window_frames,has_window_material_pvc,has_window_material_wood,has_window_material_metal,has_window_type_double,has_window_type_triple,has_exposure_type_internal,has_exposure_type_external,has_exposure_type_double,has_exposure_direction_north,has_exposure_direction_south,has_exposure_direction_east,has_exposure_direction_west,conditions,zone,conditions_imputed,floor,is_mezzanine,is_semi-basement,elevator,energy_class,energy_class_imputed,is_high_efficiency,is_middle_efficiency,is_low_efficiency,condominium_fees,condominium_fees_imputed,latitude,longitude,dist_duomo,dist_scala_theatre,dist_sansiro_stadium,dist_centrale_station,dist_cadorna_station,dist_sforzesco_park,dist_montanelli_park,dist_solari_park,dist_pagano_park,dist_citylife,dist_direzionale,dist_porta_nuova,dist_porta_garibaldi,dist_piazza_affari,avg_conditions_per_zone,avg_square_meters_per_zone,avg_bedrooms_per_zone,avg_bathrooms_per_zone,avg_other_rooms_per_zone,avg_price_per_square_meter_zone,zone_rank,availability_year_not_available_per_zone_perc,availability_year_2024_per_zone_perc,availability_year_2023_per_zone_perc,availability_year_2022_per_zone_perc,availability_year_2015_per_zone_perc,availability_year_2020_per_zone_perc,availability_year_2016_per_zone_perc,availability_year_2025_per_zone_perc,availability_instant_per_zone_perc,availability_year_not_available_per_contract_perc,availability_year_2024_per_contract_perc,availability_year_2023_per_contract_perc,availability_year_2022_per_contract_perc,availability_year_2015_per_contract_perc,availability_year_2020_per_contract_perc,availability_year_2016_per_contract_perc,availability_year_2025_per_contract_perc,availability_instant_per_contract_perc,sqm_x_zone_rank,sqm_x_condition,floor_x_no_elevator,bedrooms_x_zone_rank,sqm_x_high_efficiency
3000.0,110.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4 (2 bedrooms, 2 others), 1 bathroom - one or more suitable for disabled people",2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,quadronno - crocetta,0,1.0,0,0,1,3,0,0,1,0,500.0,0,45.4542738,9.1956417,1.1416012087982992,1.5555427569473168,6.187874668751089,3.444336473967894,2.1895546532709567,2.585642536488277,2.23935746070929,2.352098107534943,3.230454440903459,3.909767721642075,3.3666434252862087,3.2181092845000734,3.036330924380973,1.4801404148619222,1.735632183908046,79.19540229885058,1.6206896551724137,1.3218390804597702,1.0114942528735633,27.75498193870298,42.0,0.9195402298850575,0.06896551724137931,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.6781609195402298,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,4620.0,220.0,0.0,84.0,0.0
2200.0,111.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,farini,0,6.0,0,0,1,3,0,0,1,0,400.0,0,45.4928794,9.1751082,3.447308379067472,3.0278111259929683,4.310794041621489,2.354189484869092,2.7313568784043936,2.1932914082135397,2.841065846722411,3.983970616413253,2.764356834769788,2.487765806790712,1.9360115135679503,1.6559560049902735,1.6199050891062348,3.2163729869408986,1.8695652173913044,60.369565217391305,1.108695652173913,1.065217391304348,0.8695652173913043,25.72043125399107,52.0,0.8695652173913043,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.7391304347826086,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,5772.0,222.0,0.0,104.0,0.0
2500.0,85.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",2,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,palestro,0,4.0,0,0,1,1,0,0,0,1,250.0,0,45.4716297,9.2021428,1.1494827088492572,1.0920123591837332,6.138720915303634,1.46754757942032,2.073720504281677,2.0203842995043946,0.3316318286312227,3.228196941733614,3.2200482496210805,3.6651125952242287,1.4922138711587631,1.535160480318997,1.5721410283416486,1.6431636178388855,1.8333333333333333,106.38333333333334,1.7833333333333334,1.7833333333333334,1.0666666666666667,29.859560781130924,28.0,0.8166666666666667,0.13333333333333333,0.05,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,2380.0,85.0,0.0,56.0,0.0
1250.0,40.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"1 room, 1 bathroom, kitchen nook",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,repubblica,0,2.0,0,0,1,3,0,0,1,0,90.0,0,45.4794372,9.1979411,1.758806739983205,1.4791727139123638,5.769646210302571,0.717462064078707,2.1123407113739865,1.823597326729664,0.6046545724091428,3.482583674325217,3.068678131742437,3.347098723403385,0.5728455022883316,0.6699834858062881,0.8759181797090618,1.994051467347949,1.9090909090909092,96.9090909090909,1.7878787878787878,1.5757575757575757,0.9696969696969697,28.06521134925749,40.0,0.8787878787878788,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.7575757575757576,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,1600.0,80.0,0.0,40.0,0.0
4200.0,170.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"4 (2 bedrooms, 2 others), 3 bathrooms, kitchen diner",2,2,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,morgagni,0,4.0,0,0,1,1,0,0,0,1,833.0,0,45.478049,9.212456,2.2231195855275883,2.143114973192227,6.899622363274225,1.0515139052288496,3.0435380837334662,2.868798580944332,1.065610414236432,4.283334647922156,4.115555036386782,4.457349734958232,1.4106687744913522,1.7587524767357912,2.017481556039817,2.701446317433567,1.755813953488372,76.20930232558139,1.6395348837209303,1.3372093023255813,0.9534883720930233,27.008401154101623,45.0,0.8488372093023255,0.1511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.7093023255813954,0.8890069038767924,0.10249601699415826,0.006903876792352629,0.0,0.0005310674455655868,0.0005310674455655868,0.0005310674455655868,0.0,0.7541157727031333,7650.0,340.0,0.0,90.0,0.0
5000.0,220.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"5 (4 bedrooms, 1 other), 3 bathrooms, kitchen diner",4,1,3,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,centrale,0,1.0,0,0,1,3,0,0,1,0,525.0,0,45.4847973,9.2032159,2.454661838483211,2.1987511930281896,6.222975517052257,0.0145595418935688,2.8050452118255707,2.4629337289472235,1.2072123992655677,4.195050621574439,3.681453529389072,3.8736587225142327,0.4926166801691354,0.9686483273545774,1.3446434022490918,2.7181462663009417,1.8674698795180722,79.59036144578313,1.4939759036144578,1.2891566265060241,1.0120481927710843,30.191447011261396,26.0,0.7349397590361446,0.13253012048192772,0.024096385542168676,0.10843373493975904,0.0,0.0,0.0,0.0,0.5421686746987951,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,5720.0,440.0,0.0,104.0,0.0
1420.0,85.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom, semi-habitable kitchen",2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,frua,0,8.0,0,0,1,2,0,0,0,1,280.0,0,45.4647993,9.1492753,3.3245018042480714,3.1439652660559427,2.469198816130121,4.745578206662904,2.118374298136376,2.305795245910224,4.08704703743525,1.519445578169397,1.081705934460604,1.2590940083116025,4.314074145739213,3.836760756762177,3.43571037414628,2.6790161107767783,1.5777777777777777,86.0,1.8,1.3111111111111111,0.8888888888888888,22.567525211006718,82.0,0.9777777777777777,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,6970.0,170.0,0.0,164.0,0.0
1600.0,70.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",2,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,piazzale siena,0,2.0,0,0,1,2,0,0,0,1,200.0,0,45.4650768,9.1368993,4.290094810699981,4.103367820544597,1.7686344009446089,5.603974179987548,3.068248865022133,3.2036054336186264,5.019847524714413,2.406023055155983,1.953661790604445,1.836170803597112,5.155175443472386,4.670547127626711,4.27642116143285,3.644476621281041,1.9411764705882353,59.0,1.3529411764705883,1.1176470588235294,0.7058823529411765,22.095862565766804,89.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,6230.0,140.0,0.0,178.0,0.0
4000.0,150.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",3,1,3,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,lodi - brenta,0,8.0,0,0,1,2,1,0,0,0,580.0,0,45.4429124,9.2178994,3.1171136586024635,3.52895466912292,8.30784375184911,4.801267261772558,4.321936807886948,4.672924527681795,3.748593573464957,4.3765654045558815,5.375931903270834,6.056938251602821,4.909511052379429,4.928466108794948,4.865409887108877,3.598642810351802,1.7924528301886793,62.0377358490566,1.320754716981132,1.1320754716981132,0.7924528301886793,26.27931869403935,47.0,0.8490566037735849,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.7358490566037735,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,7050.0,300.0,0.0,141.0,0.0
2400.0,40.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,lanza,0,3.0,0,0,0,5,0,0,1,0,0.0,0,45.4718013,9.1823052,1.1287244606784077,0.726862388517568,4.603383486714231,2.168976960685363,0.627343863730547,0.4905496615334473,1.4011028347276162,2.0302413229745944,1.6793433387060062,2.131051131380194,1.817128334724832,1.4230237032934945,1.071387448562933,0.8098621624268945,1.8461538461538463,54.30769230769231,1.0769230769230769,1.0769230769230769,0.5384615384615384,35.211646196940315,15.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.964349376114082,0.03297682709447415,0.0017825311942959,0.0,0.0,0.0,0.0,0.00089126559714795,0.7477718360071302,600.0,80.0,3.0,15.0,0.0
